periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Combined oral contraceptive Pills Beginning Balance,Combined oral contraceptive Pills Ending Balanc,Combined oral contraceptive Pills Issued/Dispensed,Combined oral contraceptive Pills Losses,Combined oral contraceptive Pills Negative Adjustment (Issued to Other HF),Combined oral contraceptive Pills Positive Adjustment (Receipt from other HF),Combined oral contraceptive Pills Quantity Needed/Requested,Combined oral contraceptive Pills Stock Received,Emergency Pill Beginning Balance,Emergency Pill Ending Balanc,Emergency Pill Issued/Dispensed,Emergency Pill Losses,Emergency Pill Negative Adjustment (Issued to Other HF),Emergency Pill Positive Adjustment (Receipt from other HF),Emergency Pill Quantity Needed/Requested,Emergency Pill Stock Received,Female Condom  Beginning Balance,Female Condom  Ending Balanc,Female Condom  Issued/Dispensed,Female Condom  Losses,Female Condom  Negative Adjustment (Issued to Other HF),Female Condom  Positive Adjustment (Receipt from other HF),Female Condom  Quantity Needed/Requested,Female Condom  Stock Received,IUCD Copper T Beginning Balance,IUCD Copper T Ending Balanc,IUCD Copper T Issued/Dispensed,IUCD Copper T Losses,IUCD Copper T Negative Adjustment (Issued to Other HF),IUCD Copper T Positive Adjustment (Receipt from other HF),IUCD Copper T Quantity Needed/Requested,IUCD Copper T Stock Received,Implants (1-Rod) Beginning Balance,Implants (1-Rod) Ending Balanc,Implants (1-Rod) Issued/Dispensed,Implants (1-Rod) Losses,Implants (1-Rod) Negative Adjustment (Issued to Other HF),Implants (1-Rod) Positive Adjustment (Receipt from other HF),Implants (1-Rod) Quantity Needed/Requested,Implants (1-Rod) Stock Received,Injectables Beginning Balance,Injectables Ending Balanc,Injectables Issued/Dispensed,Injectables Losses,Injectables Negative Adjustment (Issued to Other HF),Injectables Positive Adjustment (Receipt from other HF),Injectables Quantity Needed/Requested,Injectables Stock Received,Male Condom  Beginning Balance,Male Condom  Ending Balanc,Male Condom  Issued/Dispensed,Male Condom  Losses,Male Condom  Negative Adjustment (Issued to Other HF),Male Condom  Positive Adjustment (Receipt from other HF),Male Condom  Quantity Needed/Requested,Male Condom  Stock Received,Progestin only Pills Beginning Balance,Progestin only Pills Ending Balanc,Progestin only Pills Issued/Dispensed,Progestin only Pills Losses,Progestin only Pills Negative Adjustment (Issued to Other HF),Progestin only Pills Positive Adjustment (Receipt from other HF),Progestin only Pills Quantity Needed/Requested,Progestin only Pills Stock Received
201404,April 2014,201404,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,35056.0,46036.0,5728.0,,239.0,14694.0,4768.0,1459.0,10743.0,7899.0,47.0,,164.0,29.0,666.0,10.0,29272.0,26703.0,205.0,1.0,1400.0,,2752.0,30.0,1466.0,1445.0,253.0,1.0,20.0,138.0,368.0,30.0,1740.0,1670.0,223.0,,230.0,219.0,245.0,30.0,30377.0,104346.0,6660.0,,1452.0,2192.0,15026.0,1530.0,352849.0,321005.0,11003.0,10.0,15220.0,450.0,3281.0,801.0,939.0,809.0,250.0,,,8.0,2957.0,114.0
201404,April 2014,201404,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,66.0,58.0,8.0,,9.0,,180.0,,50.0,50.0,,,,,600.0,,,,,,,,,,10.0,,,,,,20.0,,,14.0,6.0,,,,70.0,20.0,33.0,59.0,24.0,,,,500.0,50.0,,,,,,,,,,,,,,,,
201404,April 2014,201404,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,3800.0,3542.0,241.0,17.0,17.0,,100.0,,23.0,23.0,,,,,360.0,,36.0,36.0,,,,,140.0,,118.0,78.0,20.0,,,,220.0,,1951.0,1719.0,151.0,1.0,,,100.0,,8312.0,9016.0,396.0,,,,100.0,1100.0,28570.0,23327.0,4703.0,,,,11300.0,,1516.0,1335.0,53.0,,,,110.0,
201404,April 2014,201404,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,2863.0,2588.0,149.0,135.0,,,100.0,,266.0,265.0,1.0,,,,100.0,,300.0,300.0,,,,,,,291.0,289.0,2.0,,,,20.0,,66.0,89.0,31.0,,,14.0,50.0,40.0,3491.0,2891.0,942.0,5.0,283.0,209.0,400.0,825.0,31332.0,34332.0,1000.0,,,,2000.0,4000.0,1150.0,1136.0,14.0,,,,400.0,
201404,April 2014,201404,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,10011.0,9289.0,693.0,13.0,12.0,10.0,1995.0,2.0,1119.0,1095.0,24.0,,,,185.0,,1010.0,1010.0,,,,,520.0,,459.0,444.0,7.0,1.0,6.0,,25.0,,1232.0,1224.0,94.0,1.0,3.0,27.0,250.0,53.0,19203.0,18117.0,2472.0,130.0,930.0,1050.0,2250.0,1375.0,134159.0,124448.0,7699.0,12.0,2000.0,,13300.0,,2747.0,2432.0,65.0,,15.0,,535.0,
201404,April 2014,201404,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,290.0,290.0,,,,,,,50.0,50.0,,,,,,,4372.0,4272.0,100.0,,,,,,87.0,87.0,,,,,,,65.0,63.0,2.0,,,,,,699.0,691.0,4.0,,,,,,440.0,440.0,,,,,,,,,,,,,,
201404,April 2014,201404,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,2000.0,,,,,5000.0,,,,,,,,,,,,,,,,
201404,April 2014,201404,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,23962.0,22422.0,2876.0,,,584.0,2805.0,694.0,2386.0,2270.0,31.0,1.0,20.0,14.0,385.0,,18406.0,17632.0,1210.0,,,,7710.0,,9672.0,9664.0,63.0,12.0,,21.0,234.0,51.0,3793.0,3708.0,111.0,4.0,48.0,2.0,560.0,99.0,20948.0,17986.0,3421.0,305.0,214.0,94.0,3866.0,1417.0,197916.0,182927.0,22731.0,,,,27660.0,7810.0,3302.0,3223.0,285.0,3.0,3.0,40.0,1817.0,163.0
201404,April 2014,201404,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,,,,,,,,,,,,,,,,,4.0,1.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,April 2014,201404,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,6357.0,5565.0,462.0,,50.0,,430.0,7559.0,215.0,193.0,10.0,,10.0,,210.0,,17255.0,15968.0,287.0,,100.0,,510.0,250.0,846.0,648.0,38.0,,20.0,,535.0,11.0,475.0,441.0,97.0,,10.0,,189.0,580.0,6985.0,10466.0,2286.0,,325.0,,1245.0,12350.0,146899.0,153459.0,12514.0,,1400.0,1100.0,6800.0,2100.0,3363.0,3333.0,96.0,,,,40.0,65.0
