orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women 2020,Estimated Number of Pregnant Women 2018,Estimated Number of Pregnant Women 2024,Estimated Number of Pregnant Women 2021,Estimated Number of Pregnant Women 2023,Estimated Number of Pregnant Women 2019,Estimated Number of Pregnant Women 2022,Estimated Number of Pregnant Women 2025,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2018,Population Growth Rate 2024,Population Growth Rate 2023,Population Growth Rate 2019,Population Growth Rate 2022,Population Growth Rate 2025,Total Population 2021,Total Population 2024,Total Population 2023,Total Population 2019,Total Population 2025,Total Population 2022,Total Population 2020,Total Population 2018,Women of childbearing age (15–49yrs) 2019,Women of childbearing age (15–49yrs) 2022,Women of childbearing age (15–49yrs) 2025,Women of childbearing age (15–49yrs) 2020,Women of childbearing age (15–49yrs) 2018,Women of childbearing age (15–49yrs) 2024,Women of childbearing age (15–49yrs) 2021,Women of childbearing age (15–49yrs) 2023
Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,22791,28403,25859,23508,25054,29126,24263,52470,6.8,2.93,3.2,3.13,2.85,3.21,2.85,3,710559,781220,756924,774297,1585179,732363,689090,754013,188198,166778,367820,156691,175023,177596,161588,172072
Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,27782,35596,31224,28589,30324,31522,29444,29983,2.43,2.5,2.7,2.5,2.5,2.7,2.58,2.54,928213,1012433,984552,950187,969674,955969,902047,963723,229073,236968,240219,223603,229615,251118,230087,244215
Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,59820,65489,68382,61766,66192,58642,63918,70633,3.2,3.2,3.2,3.2,2.83,3.2,2.98,3.22,1787575,1973940,1909467,1649467,2039510,1847542,1731240,1637392,397598,435684,481027,408267,394095,454863,421554,450225
Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,28685,22589,32280,29517,31336,33360,30407,33256,2.2,3.4,2.09,2.33,2.2,2.22,2.36,2.36,949104,1037986,1007566,881878,1069344,978032,922352,869978,201282,237629,259940,224145,198285,252295,230672,244885
Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,16561,19301,18939,17111,18312,19812,17668,19584,2.58,2.73,3.06,2.95,2.67,3.48,2.95,2.95,486408,538015,520223,515926,556383,503019,470812,502411,123822,118538,131140,110930,120579,126811,114604,122616
Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,15561,15013,17131,15929,16723,15416,16323,17547,1.8,,2.2,,1.8,1.4,,,637649,685240,668983,586783,701892,653114,622993,571413,147630,167305,179861,159579,143763,175593,163334,171428
Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,43114,22261,46476,44334,47112,27640,43838,49103,3.55,3.5,3.9,3.5,3.5,3.9,3.5,3.5,1250231,1379963,1333309,753551,1450401,1254128,1216738,725589,170865,281124,328852,273913,168130,309841,281989,299366
Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,39907,47462,45521,41191,44060,48214,42558,46770,,,2.7,3.3,3.3,2.57,4.1,,1204606,1332555,1289740,1201379,1376799,1244597,1167024,1176010,293099,296631,326624,278143,289424,316159,287099,305970
Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,24448,7168,7402,7923,7215,7485,7027,5531,2,2.32,3,2.32,2.32,2.5,2.37,2.3,273697,295370,287960,191673,158805,280735,267641,183045,51341,64295,33080,69253,43931,67678,64544,65984
Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,38371,35467,43539,39573,42177,36731,40853,44946,3.63,3.6,3.54,,3.67,3.6,3.59,3.1,1188533,1307496,1266585,966621,1349728,1226954,1152398,933224,231990,332902,366318,312674,224004,354857,322477,343753
Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,63074,70084,71817,65019,69122,68852,67466,73641,2.6,2.34,2.5,2.93,3.06,2.48,2.38,2.69,1985531,2181026,2113807,1968184,2250382,2048659,1926130,1941663,500502,489639,537741,460775,506430,523862,474984,505557
Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,27781,35226,31147,28561,30303,41355,29426,30923,2.55,2.58,2.66,2.9,2.85,2.75,2.5,2.57,958532,1043573,1014260,1029261,1074264,985745,932370,980109,238666,249744,271939,236122,230423,264675,242748,257244
Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,64956,54809,71849,66554,70141,56783,68245,68135,2.22,2.23,1.59,2.02,2.55,1.59,2.5,2.53,2544742,4743588,2675640,1984169,2563444,2609359,2483570,1942506,569641,773013,743139,735746,556662,839667,753869,792314
Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,53381,57736,61097,55161,59071,59491,57052,63192,2.64,,2.9,3.3,3.4,2.9,3.3,,1559775,1725900,1668718,1545210,1785098,1613325,1509504,1496094,358489,397205,439573,371641,347094,424996,384018,410902
Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13640,15051,14825,13920,14517,15396,14217,15141,1.99,1.52,1.96,,,1.97,,1.2,635496,676955,662837,632546,691375,649012,622651,632154,174772,173020,184263,165992,170198,180420,169417,176659
Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,39192,45845,43653,40301,42620,48447,41476,45487,2.15,2.83,2.33,,,2.25,,2.4,1341240,1455145,1420672,1439510,1504852,1380368,1304330,1406042,300422,325741,356906,307797,292342,343128,316508,335068
Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,40974,47067,46466,39891,44754,46595,43362,47540,2.1,2.1,2.1,2.1,3.1,2.1,3.3,2.1,1228740,1348576,1307405,1212956,1391125,1267469,1192286,1183591,295287,319403,350654,300526,287954,339854,319931,329471
Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,33688,43350,37526,34604,36551,43977,35572,38731,2,2.35,2.05,,2,1.96,2.05,18.07,1200974,1304665,1269137,1131289,1341204,1234568,1169247,1119876,260016,305160,331680,289014,257063,322647,296857,313859
Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,34857,34097,40447,36124,38922,35398,37480,41894,,,3.13,3.8,3.6,2.9,,3.7,934287,1043471,1005711,905320,1082552,969359,900799,876529,208405,230002,256769,213892,201819,247500,221679,238462
