periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,FP Attendance New clients,FP Attendance Re-visits,MOH 711 Adolescent 10-14 yrs Receiving FP Services New clients,MOH 711 Adolescent 10-14 yrs Receiving FP Services Re-visits,MOH 711 Adolescent 15-19 Yrs Receiving FP Services New clients,MOH 711 Adolescent 15-19 Yrs Receiving FP Services Re-visits,MOH 711 Adolescent 20-24 Yrs Receiving FP Services New clients,MOH 711 Adolescent 20-24 Yrs Receiving FP Services Re-visits,MOH 711 Client receiving Male condoms New clients,MOH 711 Client receiving Male condoms Re-visits,MOH 711 Clients Counselled Natural Family Planning New clients,MOH 711 Clients Counselled Natural Family Planning Re-visits,MOH 711 Clients receiving Female Condoms New clients,MOH 711 Clients receiving Female Condoms Re-visits,MOH 711 Emergency contraceptive pill New clients,MOH 711 Emergency contraceptive pill Re-visits,MOH 711 Pills Combined oral contraceptive New clients,MOH 711 Pills Combined oral contraceptive Re-visits,MOH 711 Pills progestin only New clients,MOH 711 Pills progestin only Re-visits,MOH 711 Rev 2020_Adults 25+ receiving FP Services New clients,MOH 711 Rev 2020_Adults 25+ receiving FP Services Re-visits,MOH 711 Rev 2020_Clients given cycle beads New clients,MOH 711 Rev 2020_Clients given cycle beads Re-visits,MOH 711 Rev 2020_Clients receiving post abortion FP New clients,MOH 711 Rev 2020_Clients receiving post abortion FP Re-visits,MOH 711 Rev 2020_FP Injections DMPA- IM New clients,MOH 711 Rev 2020_FP Injections DMPA- IM Re-visits,MOH 711 Rev 2020_FP Injections DMPA- SC New clients,MOH 711 Rev 2020_FP Injections DMPA- SC Re-visits,MOH 711 Rev 2020_IUCD Insertion Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Hormonal Re-insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Re-insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Re-insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Re-insertion,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks New clients,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks Re-visits,MOH 711 Rev 2020_Post parturm FP within 48 Hours New clients,MOH 711 Rev 2020_Post parturm FP within 48 Hours Re-visits,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Ist Time Insertion,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Re-insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Ist Time Insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Re-insertion,Population Growth Rate,Total Population,Women of childbearing age (15–49yrs)
2019Q2,April - June 2019,2019Q2,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,29046.42,2402,3143,22,16,395,191,658,538,3686,515,3,,90,27,171,41,606,594,190,112,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,772181.43,187683.8
2019Q2,April - June 2019,2019Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,13732.38,2075,1427,74,40,140,47,362,139,1369,13,,,,,61,6,190,150,65,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,325069.4,74575.68
2020Q2,April - June 2020,2020Q2,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4847,1636,2871,6,,111,95,429,625,640,3,1,,4,,24,10,328,542,96,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,148523,33620
2020Q2,April - June 2020,2020Q2,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13640,4488,22340,26,26,356,481,1248,3064,406,121,,,36,19,169,61,1210,6962,923,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,622651,165992
2020Q2,April - June 2020,2020Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,15757,1959,1073,3,,121,33,334,104,747,89,60,,3,3,46,20,223,111,35,7,,,,,,,29,34,,,,,5,,14,,18,,,,,,,,,,,475473,104014
2020Q2,April - June 2020,2020Q2,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,20752,12636,15266,176,89,2869,1154,3440,3493,3861,681,395,,236,137,270,233,1319,1383,338,218,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,621080,157257
2021Q2,April - June 2021,2021Q2,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,40190.89,13486,13569,67,14,3672,890,2676,2649,2389,3270,671,,148,29,303,166,1160,1018,577,321,4366,6675,6,,70,,2873,5728,55,149,65,55,413,165,2666,493,4133,977,810,7,96,10,,,73,,2.83,1337575.41,315643.22
2021Q2,April - June 2021,2021Q2,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,61597.24,15055,32672,71,60,2465,2032,4478,8004,3632,2189,1099,,123,186,300,393,1822,2737,781,1140,6073,18676,4,,356,1,3981,18708,114,285,12,9,195,66,858,293,6906,3063,2160,30,255,60,37,,14,,3.2,1782690.92,420402.21
2021Q2,April - June 2021,2021Q2,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,39966.5,12840,24174,12,1,2004,1065,4768,6284,2198,2444,1202,,103,35,1027,185,2222,4791,655,798,5836,15253,5,,60,2,3958,14109,108,143,87,38,567,193,2361,757,2820,1021,1081,108,128,82,,,2,,,1281155.98,374436.15
2021Q2,April - June 2021,2021Q2,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,44212.87,1849,1508,1,,123,75,433,395,204,80,903,,7,,35,2,306,201,214,137,743,709,52,,1,2,914,1203,42,14,2,,33,,100,14,128,22,189,,221,,,,,,3.5,1246815.07,281218.54
