year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,pills_new,pills_revisits,injectable_new,injectable_revisits,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_fp,total_cyp,periodid,periodname,combined_oral_contraceptive_pills_beginning_balance,combined_oral_contraceptive_pills_ending_balanc,combined_oral_contraceptive_pills_issued/dispensed,combined_oral_contraceptive_pills_losses,combined_oral_contraceptive_pills_negative_adjustment_(issued_to_other_hf),combined_oral_contraceptive_pills_positive_adjustment_(receipt_from_other_hf),combined_oral_contraceptive_pills_quantity_needed/requested,combined_oral_contraceptive_pills_stock_received,emergency_pill_beginning_balance,emergency_pill_ending_balanc,emergency_pill_issued/dispensed,emergency_pill_losses,emergency_pill_negative_adjustment_(issued_to_other_hf),emergency_pill_positive_adjustment_(receipt_from_other_hf),emergency_pill_quantity_needed/requested,emergency_pill_stock_received,female_condom__beginning_balance,female_condom__ending_balanc,female_condom__issued/dispensed,female_condom__losses,female_condom__negative_adjustment_(issued_to_other_hf),female_condom__positive_adjustment_(receipt_from_other_hf),female_condom__quantity_needed/requested,female_condom__stock_received,iucd_copper_t_beginning_balance,iucd_copper_t_ending_balanc,iucd_copper_t_issued/dispensed,iucd_copper_t_losses,iucd_copper_t_negative_adjustment_(issued_to_other_hf),iucd_copper_t_positive_adjustment_(receipt_from_other_hf),iucd_copper_t_quantity_needed/requested,iucd_copper_t_stock_received,implants_(1_rod)_beginning_balance,implants_(1_rod)_ending_balanc,implants_(1_rod)_issued/dispensed,implants_(1_rod)_losses,implants_(1_rod)_negative_adjustment_(issued_to_other_hf),implants_(1_rod)_positive_adjustment_(receipt_from_other_hf),implants_(1_rod)_quantity_needed/requested,implants_(1_rod)_stock_received,injectables_beginning_balance,injectables_ending_balanc,injectables_issued/dispensed,injectables_losses,injectables_negative_adjustment_(issued_to_other_hf),injectables_positive_adjustment_(receipt_from_other_hf),injectables_quantity_needed/requested,injectables_stock_received,male_condom__beginning_balance,male_condom__ending_balanc,male_condom__issued/dispensed,male_condom__losses,male_condom__negative_adjustment_(issued_to_other_hf),male_condom__positive_adjustment_(receipt_from_other_hf),male_condom__quantity_needed/requested,male_condom__stock_received,progestin_only_pills_beginning_balance,progestin_only_pills_ending_balanc,progestin_only_pills_issued/dispensed,progestin_only_pills_losses,progestin_only_pills_negative_adjustment_(issued_to_other_hf),progestin_only_pills_positive_adjustment_(receipt_from_other_hf),progestin_only_pills_quantity_needed/requested,progestin_only_pills_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,Kwale,N7YETT3A9r1,202412_N7YETT3A9r1,2024_N7YETT3A9r1,KE_County_2,821,2065,877,4726,127,99,225,231,1595,5581,479,240,26,5,4,0,226,456,7176,719,31,4,8612,4306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248890.26,,,,,
202412,Kenya,Migori,fVra3Pwta0Q,202412_fVra3Pwta0Q,2024_fVra3Pwta0Q,KE_County_44,6551,5177,1602,5577,731,488,1142,898,1805,5946,5288,2038,379,48,9,0,1219,2040,7751,7326,427,9,18772,28378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372197.0,,,,,
202412,Kenya,Muranga,ahwTMNAJvrL,202412_ahwTMNAJvrL,2024_ahwTMNAJvrL,KE_County_21,612,1179,997,4373,174,402,755,1448,652,3068,577,382,103,56,0,0,576,2203,3720,959,159,0,7617,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308647.0,,,,,
202412,Kenya,Kericho,ihZsJ8alvtb,202412_ihZsJ8alvtb,2024_ihZsJ8alvtb,KE_County_35,1007,1538,1675,2138,226,80,462,638,1372,3821,769,681,29,19,8,0,306,1100,5193,1450,48,8,8105,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306614.0,,,,,
202412,Kenya,Embu,PFu8alU2KWG,202412_PFu8alU2KWG,2024_PFu8alU2KWG,KE_County_14,331,996,378,3938,96,68,305,1011,406,3481,374,323,61,38,3,0,164,1316,3887,697,99,3,6166,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196151.0,,,,,
202412,Kenya,Kajiado,Hsk1YV8kHkT,202412_Hsk1YV8kHkT,2024_Hsk1YV8kHkT,KE_County_34,1214,1699,1957,3672,350,409,835,779,1726,4099,742,332,205,75,15,0,759,1614,5825,1074,280,15,9567,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388460.0,,,,,
202412,Kenya,Kirinyaga,Ulj33KBau7V,202412_Ulj33KBau7V,2024_Ulj33KBau7V,KE_County_20,524,1515,454,4539,173,170,399,1710,808,3422,330,311,84,37,0,0,343,2109,4230,641,121,0,7444,3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199442.0,,,,,
202412,Kenya,Makueni,BoDytkJQ4Qi,202412_BoDytkJQ4Qi,2024_BoDytkJQ4Qi,KE_County_17,728,1832,682,7295,163,324,501,824,564,7745,901,540,54,15,10,0,487,1325,8309,1441,69,10,11641,7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286473.0,,,,,
202412,Kenya,Lamu,NjWSbQTwys4,202412_NjWSbQTwys4,2024_NjWSbQTwys4,KE_County_5,134,202,203,691,176,1016,184,323,192,659,78,25,7,5,0,0,1192,507,851,103,12,0,2665,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43664.0,,,,,
202412,Kenya,Baringo,vvOK1BxTbet,202412_vvOK1BxTbet,2024_vvOK1BxTbet,KE_County_30,446,692,439,1789,293,183,362,756,484,1962,342,223,19,7,0,0,476,1118,2446,565,26,0,4631,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209548.0,,,,,
