year_month,country,county,uid,county_code,estimated_number_of_pregnant_women,fp_injections_dmpa_im_new_clients,fp_injections_dmpa_im_re_visits,fp_injections_dmpa_sc_new_clients,fp_injections_dmpa_sc_re_visits,year,uid_code,uidear,periodid,periodname,organisationunitname,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received,women_of_childbearing_age_15_49yrs,eligible_fp,demand_satisfied_by_modern_methods_percent,mcpr_married_women_percent,total_unmet_need_married_women_percent,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25_plus_receiving_fp_services_new,adults_25_plus_receiving_fp_services_revisits,condoms_new,condoms_revisits,pills_new,pills_revisits,injectable_new,injectable_revisits,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,traditional_new,traditional_revisits,adolescent_10_24_receiving_fp,adults_25_plus_receiving_fp,condoms,pills,injectables,implants,iucd,surgical,traditional,total_modern_fp,total_cyp,total_users_receiving_fp,total_actual_new_modern_fp,total_actual_revisits_modern_fp,total_actual_traditional_methods,total_actual_modern_fp,total_fp,proportion_adolescents_10_24_yrs_receiving_fp,number_of_months,actual_mcpr,actual_mcpr_monthly,number_women_10_49_yrs_with_unmet_need_for_fp,actual_unmet_need_for_modern_fp,actual_core_health_workers_2013_10000_eligible_fp,actual_total_demand_for_fp,actual_demand_satisfied,total_fp_losses,pills_total_stock_losses,condoms_total_stock_losses,injectables_total_stock_losses,implants_total_stock_losses,iud_total_stock_losses,date,month,quarter,month_sin,month_cos,total_fp_lag_1,total_fp_lag_3,total_fp_lag_6,total_fp_lag_12,total_fp_rolling_mean_3,total_fp_rolling_mean_6,pills_lag_1,pills_lag_3,pills_lag_6,pills_lag_12,pills_rolling_mean_3,pills_rolling_mean_6,condoms_lag_1,condoms_lag_3,condoms_lag_6,condoms_lag_12,condoms_rolling_mean_3,condoms_rolling_mean_6,injectables_lag_1,injectables_lag_3,injectables_lag_6,injectables_lag_12,injectables_rolling_mean_3,injectables_rolling_mean_6,implants_lag_1,implants_lag_3,implants_lag_6,implants_lag_12,implants_rolling_mean_3,implants_rolling_mean_6,iucd_lag_1,iucd_lag_3,iucd_lag_6,iucd_lag_12,iucd_rolling_mean_3,iucd_rolling_mean_6,surgical_lag_1,surgical_lag_3,surgical_lag_6,surgical_lag_12,surgical_rolling_mean_3,surgical_rolling_mean_6,adolescent_10_24_receiving_fp_lag_1,adolescent_10_24_receiving_fp_lag_3,adolescent_10_24_receiving_fp_lag_6,adolescent_10_24_receiving_fp_lag_12,adolescent_10_24_receiving_fp_rolling_mean_3,adolescent_10_24_receiving_fp_rolling_mean_6,adults_25_plus_receiving_fp_lag_1,adults_25_plus_receiving_fp_lag_3,adults_25_plus_receiving_fp_lag_6,adults_25_plus_receiving_fp_lag_12,adults_25_plus_receiving_fp_rolling_mean_3,adults_25_plus_receiving_fp_rolling_mean_6,linear_trend
202001,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202001_vvOK1BxTbet,2020_vvOK1BxTbet,202001.0,2020-01-01,Baringo County,0.0,10.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,595.0,360.0,0.0,0.0,428.0,84.0,372.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,0.0,512.0,642.0,0.0,0.0,0.0,0.0,0.0,1154.0,34.8503,955.0,800.0,354.0,0.0,1154.0,1154.0,1.0,12.0,0.008618371919342793,0.10342046303211351,132746.0,0.9913816280806572,13.39,1.0,0.008618371919342793,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,1.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,1154.0,1154.0,0.0,0.0,0.0,0.0,642.0,642.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202002,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22791.0,0.0,0.0,0.0,0.0,2020.0,202002_vvOK1BxTbet,2020_vvOK1BxTbet,202002.0,2020-02-01,Baringo County,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,540.0,334.0,0.0,0.0,510.0,30.0,414.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,874.0,0.0,540.0,633.0,0.0,0.0,0.0,0.0,1.0,1173.0,35.9199,874.0,924.0,249.0,1.0,1173.0,1174.0,1.0,12.0,0.008760268857356236,0.10512322628827482,132727.0,0.9912397311426437,13.39,1.0,0.008760268857356236,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,2.0,1.0,0.8660254037844386,0.5000000000000001,1154.0,0.0,0.0,0.0,1164.0,1164.0,642.0,0.0,0.0,0.0,637.5,637.5,512.0,0.0,0.0,0.0,526.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,0.0,0.0,0.0,914.5,914.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0
202003,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202003_vvOK1BxTbet,2020_vvOK1BxTbet,202003.0,2020-03-01,Baringo County,0.0,308.0,904.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,1075.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,694.0,405.0,0.0,0.0,454.0,100.0,268.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,1099.0,0.0,554.0,453.0,0.0,0.0,0.0,0.0,22.0,1007.0,37.3673,1099.0,722.0,285.0,22.0,1007.0,1029.0,1.0,12.0,0.007520537714712472,0.09024645257654966,132893.0,0.9924794622852875,13.39,1.0,0.007520537714712472,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3.0,1.0,1.0,6.123233995736766e-17,1174.0,0.0,0.0,0.0,1119.0,1119.0,633.0,0.0,0.0,0.0,576.0,576.0,540.0,0.0,0.0,0.0,535.3333333333334,535.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0.0,0.0,0.0,976.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
202004,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202004_vvOK1BxTbet,2020_vvOK1BxTbet,202004.0,2020-04-01,Baringo County,0.0,336.0,589.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1170.0,424.0,0.0,400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,414.0,369.0,0.0,0.0,758.0,65.0,255.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,783.0,0.0,823.0,459.0,0.0,0.0,0.0,0.0,11.0,1282.0,37.349900000000005,783.0,1013.0,269.0,11.0,1282.0,1293.0,1.0,12.0,0.009574309185959671,0.11489171023151605,132618.0,0.9904256908140403,13.39,1.0,0.009574309185959671,4.0,0.0,0.0,4.0,0.0,0.0,2020-04-01,4.0,2.0,0.8660254037844387,-0.4999999999999998,1029.0,1154.0,0.0,0.0,1165.3333333333333,1162.5,453.0,642.0,0.0,0.0,515.0,546.75,554.0,512.0,0.0,0.0,639.0,607.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,955.0,0.0,0.0,918.6666666666666,927.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0
202005,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202005_vvOK1BxTbet,2020_vvOK1BxTbet,202005.0,2020-05-01,Baringo County,0.0,73.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,473.0,366.0,0.0,0.0,515.0,93.0,318.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,64.0,839.0,0.0,608.0,662.0,0.0,0.0,0.0,0.0,88.0,1270.0,44.737199999999994,839.0,833.0,437.0,88.0,1270.0,1358.0,1.0,12.0,0.009484690067214339,0.11381628080657206,132630.0,0.9905153099327857,13.39,1.0,0.009484690067214339,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-01,5.0,2.0,0.49999999999999994,-0.8660254037844387,1293.0,1174.0,0.0,0.0,1226.6666666666667,1201.6,459.0,633.0,0.0,0.0,524.6666666666666,569.8,823.0,540.0,0.0,0.0,661.6666666666666,607.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,874.0,0.0,0.0,907.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
202006,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202006_vvOK1BxTbet,2020_vvOK1BxTbet,202006.0,2020-06-01,Baringo County,0.0,95.0,431.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,292.0,99.0,10000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,569.0,397.0,0.0,0.0,552.0,124.0,341.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,966.0,0.0,676.0,628.0,0.0,0.0,0.0,0.0,31.0,1304.0,118.1497,966.0,893.0,411.0,31.0,1304.0,1335.0,1.0,12.0,0.009738610903659448,0.11686333084391336,132596.0,0.9902613890963405,13.39,1.0,0.009738610903659448,1.0,0.0,0.0,1.0,0.0,0.0,2020-06-01,6.0,2.0,1.2246467991473532e-16,-1.0,1358.0,1029.0,0.0,0.0,1328.6666666666667,1223.8333333333333,662.0,453.0,0.0,0.0,583.0,579.5,608.0,554.0,0.0,0.0,702.3333333333334,618.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,1099.0,0.0,0.0,862.6666666666666,919.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6.0
202007,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202007_vvOK1BxTbet,2020_vvOK1BxTbet,202007.0,2020-07-01,Baringo County,0.0,326.0,6336.0,0.0,6240.0,0.0,0.0,0.0,20.0,0.0,0.0,272.0,1234.0,100.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,1575.0,400.0,2550.0,0.0,0.0,0.0,720.0,0.0,30.0,0.0,2.0,10.0,0.0,156691.0,133900.0,0.0,0.0,0.0,595.0,463.0,0.0,0.0,577.0,371.0,358.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1058.0,0.0,948.0,735.0,0.0,0.0,0.0,0.0,13.0,1683.0,391.87860000000006,1058.0,935.0,748.0,13.0,1683.0,1696.0,1.0,12.0,0.01256908140403286,0.1508289768483943,132217.0,0.9874309185959671,13.39,1.0,0.01256908140403286,30.0,0.0,0.0,0.0,0.0,30.0,2020-07-01,7.0,3.0,-0.4999999999999997,-0.8660254037844388,1335.0,1293.0,1154.0,0.0,1463.0,1314.1666666666667,628.0,459.0,642.0,0.0,675.0,595.0,676.0,823.0,512.0,0.0,744.0,691.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,783.0,955.0,0.0,954.3333333333334,936.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0
202008,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,0.0,0.0,0.0,2020.0,202008_vvOK1BxTbet,2020_vvOK1BxTbet,202008.0,2020-08-01,Baringo County,0.0,3356.0,3410.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,804.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,1800.0,0.0,1000.0,0.0,11.0,205.0,0.0,216.0,0.0,0.0,2.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,485.0,491.0,0.0,0.0,737.0,586.0,381.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,22.0,976.0,0.0,1323.0,703.0,0.0,0.0,0.0,0.0,82.0,2026.0,232.2543,976.0,1118.0,908.0,82.0,2026.0,2108.0,1.0,12.0,0.015130694548170277,0.1815683345780433,131874.0,0.9848693054518297,13.39,1.0,0.015130694548170277,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01,8.0,3.0,-0.8660254037844385,-0.5000000000000004,1696.0,1358.0,1174.0,0.0,1713.0,1469.8333333333333,735.0,662.0,633.0,0.0,688.6666666666666,606.6666666666666,948.0,608.0,540.0,0.0,982.3333333333334,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,839.0,874.0,0.0,1000.0,953.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0
202009,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,0.0,6.0,0.0,0.0,2020.0,202009_vvOK1BxTbet,2020_vvOK1BxTbet,202009.0,2020-09-01,Baringo County,0.0,612.0,2878.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,1525.0,0.0,0.0,0.0,58.0,712.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,435.0,378.0,0.0,0.0,1194.0,179.0,278.0,234.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,813.0,0.0,1373.0,512.0,6.0,1.0,0.0,0.0,12.0,1892.0,144.46720000000002,813.0,1473.0,419.0,12.0,1892.0,1904.0,1.0,12.0,0.014129947722180732,0.16955937266616877,132008.0,0.9858700522778193,13.39,1.0,0.014129947722180732,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-01,9.0,3.0,-1.0,-1.8369701987210297e-16,2108.0,1335.0,1029.0,0.0,1902.6666666666667,1615.6666666666667,703.0,628.0,453.0,0.0,650.0,616.5,1323.0,676.0,554.0,0.0,1214.6666666666667,958.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,966.0,1099.0,0.0,949.0,905.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,9.0
202010,Kenya,Baringo ,vvOK1BxTbet,KE_County_30,22853.0,687.0,1882.0,0.0,0.0,2020.0,202010_vvOK1BxTbet,2020_vvOK1BxTbet,202010.0,2020-10-01,Baringo County,0.0,9.0,2751.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,950.0,0.0,0.0,0.0,26.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156691.0,133900.0,0.0,0.0,0.0,596.0,588.0,675.0,1366.0,618.0,144.0,388.0,362.0,687.0,1882.0,604.0,214.0,53.0,22.0,3.0,0.0,73.0,16.0,1184.0,2041.0,762.0,750.0,2569.0,818.0,75.0,3.0,89.0,4977.0,3471.1832,3225.0,2353.0,2624.0,89.0,4977.0,5066.0,0.36713178294573645,12.0,0.03716952949962659,0.446034353995519,128923.0,0.9628304705003734,13.39,1.0,0.03716952949962659,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-01,10.0,4.0,-0.8660254037844386,0.5000000000000001,1904.0,1696.0,1293.0,0.0,3026.0,2244.5,512.0,735.0,459.0,0.0,655.0,665.0,1373.0,948.0,823.0,0.0,1152.6666666666667,948.3333333333334,6.0,0.0,0.0,0.0,858.3333333333334,429.1666666666667,1.0,0.0,0.0,0.0,273.0,136.5,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,1.0,0.5,813.0,1058.0,783.0,0.0,991.0,972.6666666666666,0.0,0.0,0.0,0.0,680.3333333333334,340.1666666666667,10.0
